brand,name,marketed,details
Canon,Canon EOS R10,2022,Marketed: 24-May-2022;Lens Mount: RF;Megapixels: 24
Canon,Canon EOS R7,2022,Marketed: 24-May-2022;Lens Mount: RF;Megapixels: 32
Canon,Canon EOS R5 C,2022,Marketed: 19-Jan-2022;Lens Mount: RF;Megapixels: 45
Canon,Canon EOS R3,2021,Marketed: 14-Apr-2021;Lens Mount: RF;Megapixels: 24.1
Canon,Canon EOS M50 Mark II,2020,Marketed: 14-Oct-2020;Lens Mount: EF-M
Canon,Canon EOS C70,2020,Marketed: 24-Sep-2020;Lens Mount: RF
Canon,Canon EOS R6,2020,Marketed: 09-Jul-2020;Lens Mount: RF;Megapixels: 20.1
Canon,Canon EOS R5,2020,Marketed: 12-Feb-2020;Lens Mount: RF
Canon,Canon EOS Rebel T8i aka EOS 850D aka EOS Kiss X10i,2020,Marketed: 12-Feb-2020;Lens Mount: EF-S;Megapixels: 24
Canon,Canon EOS-1D X Mark III,2020,Marketed: 06-Jan-2020;Lens Mount: EF;Megapixels: 20.1
Canon,Canon EOS Ra,2019,Marketed: 05-Nov-2019;Lens Mount: RF;Megapixels: 30.3
Canon,Canon EOS M200,2019,Marketed: 25-Sep-2019;Lens Mount: EF-M;Megapixels: 24.1
Canon,Canon EOS 90D,2019,Marketed: 28-Aug-2019;Lens Mount: EF;Megapixels: 32.5
Canon,Canon EOS M6 Mark II,2019,Marketed: 28-Aug-2019;Lens Mount: EF-M;Megapixels: 32.5
Canon,Canon PowerShot G5 X Mark II,2019,Marketed: 08-Jul-2019;Megapixels: 20.1
Canon,Canon PowerShot G7 X Mark III,2019,Marketed: 08-Jul-2019;Megapixels: 20.1
Canon,Canon EOS Rebel SL3 aka Canon EOS 200D Mark II aka Canon EOS 250D,2019,Marketed: 10-Apr-2019;Lens Mount: EF-S;Megapixels: 24.1
Canon,Canon EOS RP,2019,Marketed: 13-Feb-2019;Lens Mount: RF;Megapixels: 26.2
Canon,Canon PowerShot SX70 HS,2018,Marketed: 20-Sep-2018;Megapixels: 20.3
Canon,Canon EOS R,2018,Marketed: 05-Sep-2018;Lens Mount: RF;Megapixels: 30.3
Canon,Canon PowerShot SX740 HS,2018,Marketed: 31-Jul-2018;Megapixels: 20.3
Canon,Canon EOS M50,2018,Marketed: 25-Feb-2018;Lens Mount: EF-M;Megapixels: 24.1
Canon,Canon EOS Rebel T100 aka Canon EOS 3000D aka Canon EOS 4000D,2018,Marketed: 25-Feb-2018;Lens Mount: EF-S;Megapixels: 18
Canon,Canon EOS Rebel T7 aka EOS 1500D aka EOS 2000D,2018,Marketed: 25-Feb-2018;Lens Mount: EF-S;Megapixels: 24.1
Canon,Canon PowerShot G1 X Mark III,2017,Marketed: 16-Oct-2017;Megapixels: 24.3
